avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
48.0,46.0,13.0,13.0,-2.0,-2.0,-2.0,70c9656995310e0c0b77ed2580fb4e96dd940b5d,1.0,1525324172.0,1.0,no,molecule/provisioner/ansible/playbooks/vagrant/create.yml,100.0,10.0,44.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,185.0,5.0,0.0,2.0,ansible-community/molecule,5.39,name creat host localhost connect local gather fact log lookup env molecul debug bool task name creat molecul instanc molecul vagrant instanc name path instanc interfac path default omit instanc raw config arg path raw config arg default omit config option path option default omit platform box path platform box version path version default omit platform box url path url default omit provid name molecul path provid memori path default omit provid cpu path default omit provid option path option default omit provid raw config arg path raw config arg default omit provis path default omit state regist server item molecul path name popul instanc config dict set fact instanc conf dict instanc path address path name user path port path ident file path file item path regist instanc config dict path bool name convert instanc config dict list set fact instanc conf instanc config path map attributeans path conf dict list path bool name dump instanc config copi content instanc conf json json molecul yaml molecul header dest molecul instanc config path bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,25.0,13.0,13.0,-2.0,-2.0,-2.0,70c9656995310e0c0b77ed2580fb4e96dd940b5d,1.0,1525324172.0,1.0,no,molecule/provisioner/ansible/playbooks/vagrant/destroy.yml,100.0,5.0,24.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,85.0,4.0,0.0,1.0,ansible-community/molecule,5.24,name destroy host localhost connect local gather fact log lookup env molecul debug bool task name destroy molecul instanc molecul vagrant instanc name path platform box path provid name molecul path provid raw config arg path raw config arg default omit forc stop path stop default state destroy regist server item molecul path name popul instanc config set fact instanc conf name dump instanc config copi content instanc conf json json molecul yaml molecul header dest molecul instanc config path bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,82.0,2.0,2.0,2.0,2.0,2.0,5fc12efd3f21d7fe1e45449519ad8736c7e36013,1.0,1527247538.0,1.0,yes,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,6.0,76.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,319.0,12.0,0.0,4.0,ansible-community/molecule,6.06,name creat host localhost connect local gather fact log lookup env molecul debug bool task name log docker registri docker login usernam path password path email path default omit registri path docker host path host default unix path item molecul path path defin path defin path defin name creat dockerfil imag name templat src molecul scenario directori path dest molecul ephemer directori dockerfil path regex replac item molecul path regist platform name discov local docker imag docker imag fact name molecul local path docker host path host default unix path item path regist docker imag name build ansibl compat imag docker imag path molecul ephemer directori name molecul local path docker host path host default unix path dockerfil path default path path forc path default item path path docker path map attributeimag select equalto list count name creat docker network docker network name item docker host path host default unix path state present item molecul path molecul get docker network name creat molecul instanc docker contain name path docker host path host default unix path hostnam path imag molecul local path state start recreat log driver jsonfil command path default bash sleep done privileg path default omit secur opt path opt default omit volum path default omit tmpf path default omit capabl path default omit expos port path port default omit publish port path port default omit ulimit path default omit network path default omit dn server path server default omit regist server item molecul path async poll name wait instanc creation complet async statu jid path job regist docker job docker path retri item path,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-0.01
85.0,82.0,4.0,4.0,0.0,0.0,0.0,484b2363f45a56ea6a4f86915a82057eaa12efd7,1.0,1530817765.0,1.0,yes,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,6.0,76.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,321.0,12.0,0.0,4.0,ansible-community/molecule,6.07,name creat host localhost connect local gather fact log lookup env molecul debug bool task name log docker registri docker login usernam path password path email path default omit registri path docker host path host default unix path item molecul path path defin path defin path defin name creat dockerfil imag name templat src molecul scenario directori path dest molecul ephemer directori dockerfil path regex replac item molecul path regist platform name discov local docker imag docker imag fact name molecul local path docker host path host default unix path item path regist docker imag name build ansibl compat imag docker imag path molecul ephemer directori name molecul local path docker host path host default unix path dockerfil path default path path forc path default item path path docker path map attributeimag select equalto list count name creat docker network docker network name item docker host path host default unix path state present item molecul path molecul get docker network name creat molecul instanc docker contain name path docker host path host default unix path hostnam path default path imag molecul local path state start recreat log driver jsonfil command path default bash sleep done privileg path default omit secur opt path opt default omit volum path default omit tmpf path default omit capabl path default omit expos port path port default omit publish port path port default omit ulimit path default omit network path default omit dn server path server default omit regist server item molecul path async poll name wait instanc creation complet async statu jid path job regist docker job docker path retri item path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
27.0,26.0,4.0,4.0,1.0,1.0,1.0,484b2363f45a56ea6a4f86915a82057eaa12efd7,1.0,1530817765.0,1.0,no,molecule/provisioner/ansible/playbooks/vagrant/destroy.yml,100.0,5.0,25.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,91.0,4.0,0.0,1.0,ansible-community/molecule,5.24,name destroy host localhost connect local gather fact log lookup env molecul debug bool task name destroy molecul instanc molecul vagrant instanc name path platform box path provid name molecul path provid option path option default omit provid raw config arg path raw config arg default omit forc stop path stop default state destroy regist server item molecul path name popul instanc config set fact instanc conf name dump instanc config copi content instanc conf json json molecul yaml molecul header dest molecul instanc config path bool,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
86.0,83.0,6.0,6.0,1.0,1.0,1.0,959773dafda9264d8254ac2c34c5cdaed03c97a5,1.0,1530862495.0,1.0,yes,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,6.0,77.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,327.0,12.0,0.0,4.0,ansible-community/molecule,6.06,name creat host localhost connect local gather fact log lookup env molecul debug bool task name log docker registri docker login usernam path password path email path default omit registri path docker host path host default unix path item molecul path path defin path defin path defin name creat dockerfil imag name templat src molecul scenario directori path dest molecul ephemer directori dockerfil path regex replac item molecul path regist platform name discov local docker imag docker imag fact name molecul local path docker host path host default unix path item path regist docker imag name build ansibl compat imag docker imag path molecul ephemer directori name molecul local path docker host path host default unix path dockerfil path default path path forc path default pull path default omit item path path docker path map attributeimag select equalto list count name creat docker network docker network name item docker host path host default unix path state present item molecul path molecul get docker network name creat molecul instanc docker contain name path docker host path host default unix path hostnam path default path imag molecul local path state start recreat log driver jsonfil command path default bash sleep done privileg path default omit secur opt path opt default omit volum path default omit tmpf path default omit capabl path default omit expos port path port default omit publish port path port default omit ulimit path default omit network path default omit dn server path server default omit regist server item molecul path async poll name wait instanc creation complet async statu jid path job regist docker job docker path retri item path,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-0.01
86.0,86.0,4.0,4.0,0.0,0.0,0.0,0ab82ab5e58c7128caef7fb5d5e146c660a8bb6f,1.0,1531091824.0,1.0,yes,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,6.0,77.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,342.0,12.0,0.0,4.0,ansible-community/molecule,6.11,name creat host localhost connect local gather fact log lookup env molecul debug bool task name log docker registri docker login usernam path password path email path default omit registri path docker host path host default lookup env docker host unix path item molecul path path defin path defin path defin name creat dockerfil imag name templat src molecul scenario directori path dest molecul ephemer directori dockerfil path regex replac item molecul path regist platform name discov local docker imag docker imag fact name molecul local path docker host path host default lookup env docker host unix path item path regist docker imag name build ansibl compat imag docker imag path molecul ephemer directori name molecul local path docker host path host default lookup env docker host unix path dockerfil path default path path forc path default pull path default omit item path path docker path map attributeimag select equalto list count name creat docker network docker network name item docker host path host default lookup env docker host unix path state present item molecul path molecul get docker network name creat molecul instanc docker contain name path docker host path host default lookup env docker host unix path hostnam path default path imag molecul local path state start recreat log driver jsonfil command path default bash sleep done privileg path default omit secur opt path opt default omit volum path default omit tmpf path default omit capabl path default omit expos port path port default omit publish port path port default omit ulimit path default omit network path default omit dn server path server default omit regist server item molecul path async poll name wait instanc creation complet async statu jid path job regist docker job docker path retri item path,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.05
31.0,31.0,4.0,4.0,0.0,0.0,0.0,0ab82ab5e58c7128caef7fb5d5e146c660a8bb6f,1.0,1531091824.0,1.0,no,molecule/provisioner/ansible/playbooks/docker/destroy.yml,100.0,2.0,29.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,101.0,6.0,0.0,2.0,ansible-community/molecule,5.45,name destroy host localhost connect local gather fact log lookup env molecul debug bool task name destroy molecul instanc docker contain name path docker host path host default lookup env docker host unix path state absent forc kill path kill default regist server item molecul path async poll name wait instanc delet complet async statu jid path job regist docker job docker path retri item path name delet docker network docker network name item docker host path host default lookup env docker host unix path state absent item molecul path molecul get docker network,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.1
49.0,47.0,3.0,3.0,1.0,1.0,1.0,c3add2ff4d4249703884af4883f4ed0dfa65122d,1.0,1531717484.0,1.0,no,molecule/provisioner/ansible/playbooks/vagrant/create.yml,100.0,10.0,45.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,191.0,5.0,0.0,2.0,ansible-community/molecule,5.39,name creat host localhost connect local gather fact log lookup env molecul debug bool task name creat molecul instanc molecul vagrant instanc name path instanc interfac path default omit instanc raw config arg path raw config arg default omit config option path option default omit platform box path platform box version path version default omit platform box url path url default omit provid name molecul path provid memori path default omit provid cpu path default omit provid option path option default omit provid raw config arg path raw config arg default omit provid overrid arg path overrid arg default omit provis path default omit state regist server item molecul path name popul instanc config dict set fact instanc conf dict instanc path address path name user path port path ident file path file item path regist instanc config dict path bool name convert instanc config dict list set fact instanc conf instanc config path map attributeans path conf dict list path bool name dump instanc config copi content instanc conf json json molecul yaml molecul header dest molecul instanc config path bool,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
87.0,87.0,38.0,38.0,0.0,0.0,0.0,6197f1d3819d10c05cff03b8d60c0d84402d4218,1.0,1532411225.0,1.0,yes,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,6.0,77.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,346.0,12.0,0.0,4.0,ansible-community/molecule,6.13,name creat host localhost connect local gather fact log lookup env molecul debug bool molecul path bool task name log docker registri docker login usernam path password path email path default omit registri path docker host path host default lookup env docker host unix path item molecul path path defin path defin path defin name creat dockerfil imag name templat src molecul scenario directori path dest molecul ephemer directori dockerfil path regex replac item molecul path regist platform name discov local docker imag docker imag fact name molecul local path docker host path host default lookup env docker host unix path item path regist docker imag name build ansibl compat imag docker imag path molecul ephemer directori name molecul local path docker host path host default lookup env docker host unix path dockerfil path default path path forc path default pull path default omit item path path docker path map attributeimag select equalto list count name creat docker network docker network name item docker host path host default lookup env docker host unix path state present item molecul path molecul get docker network name creat molecul instanc docker contain name path docker host path host default lookup env docker host unix path hostnam path default path imag molecul local path state start recreat log driver jsonfil command path default bash sleep done privileg path default omit secur opt path opt default omit volum path default omit tmpf path default omit capabl path default omit expos port path port default omit publish port path port default omit ulimit path default omit network path default omit dn server path server default omit regist server item molecul path async poll name wait instanc creation complet async statu jid path job regist docker job docker path retri item path,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.02
