avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens
0.0,4.0,7.0,7.0,25.0,25.0,25.0,497d1c512f74d9d1e30ccec91af04db5ac9e3e42,1.0,1473892512.0,1.0,no,tasks/tls_signed.yml,100.0,4.0,20.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,90.0,4.0,0.0,0.0,aalaesar/install_nextcloud,5.11,set fact nextcloud tl cert file nextcloud tl cert default etcssl nextcloud trust domain path set fact nextcloud tl cert key file nextcloud tl cert key default etcssl nextcloud trust domain path name tl certificat host copi dest nextcloud tl cert file src nextcloud tl src cert name tl key host copi dest nextcloud tl cert key file src nextcloud tl src cert key name tl check tl certic permiss file path nextcloud tl cert file mode group websrv group name tl check tl key permiss file path nextcloud tl cert key file mode group websrv group
0.0,18.0,1.0,1.0,0.0,0.0,0.0,632c2083adb5cbfec7e0b40847da097277cf85a0,1.0,1473892688.0,1.0,no,meta/main.yml,100.0,7.0,18.0,168.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2.0,0.0,0.0,aalaesar/install_nextcloud,4.86,galaxi info author aalaesar descript ansibl role instal one nextcloud server licens bsd min ansibl version platform name ubuntu version trusti xenial name debian version jessi galaxi tag nextcloud instal cloud depend
0.0,3.0,2.0,2.0,4.0,4.0,4.0,fe96b63f58f6c4c4ada7d5f8722c6d5f926b5d10,1.0,1473893580.0,1.0,yes,tasks/main.yml,100.0,14.0,44.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,6.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,184.0,14.0,0.0,2.0,aalaesar/install_nextcloud,6.36,includ taskssetup path name check environ path stat path nextcloud webroot path regist wroot block name download extract nextcloud tmp unarch copi src nextcloud url nextcloud nextcloud version path dest tmp name move extract file nextcloud webroot command tmpnextcloud nextcloud webroot name remov nextcloud archiv file file pathtmpnextcloud stateabs path defin path name configur sql databas includ tasksmysql path nextcloud backend mysql nextcloud backend mariadb name verifi permiss instal tl certif includ taskstl path nextcloud tl cert method instal name instal given sign certif includ taskstl path nextcloud tl cert method sign name configur self sign tl certif includ taskstl path nextcloud tl cert method selfsign name configur nginx web server includ tasksnginx path nextcloud websrv nginx name configur apach web server includ tasksapach path nextcloud websrv apach name trigger pend handler meta flush handler name gener nextcloud admin name password set fact nextcloud admin pwd lookup password tmpncadminpasswordfil nextcloud admin pwd defin name check nextcloud instal file stat path nextcloud webroot path regist wroot name run nextcloud command line instal includ tasksinstal path path defin path
0.0,3.0,2.0,2.0,15.0,15.0,15.0,fe96b63f58f6c4c4ada7d5f8722c6d5f926b5d10,1.0,1473893580.0,1.0,no,tasks/tls_installed.yml,100.0,2.0,12.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,2.0,0.0,0.0,aalaesar/install_nextcloud,4.5,set fact nextcloud tl cert file nextcloud tl cert set fact nextcloud tl cert key file nextcloud tl cert key name tl check tl certic permiss file path nextcloud tl cert file mode group websrv group name tl check tl key permiss file path nextcloud tl cert key file mode group websrv group
0.0,7.0,2.0,2.0,4.0,4.0,4.0,7cbb387e580ac6803dacd033325e8400e90350d5,1.0,1473896316.0,1.0,no,tasks/install_nc.yml,100.0,11.0,75.0,11.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,297.0,11.0,0.0,2.0,aalaesar/install_nextcloud,6.4,name set directori ownership permiss data folder file path nextcloud data dir mode urw orwx recurs ye state directori owner websrv user group websrv group name gener nextcloud admin name password set fact nextcloud admin pwd lookup password tmpncadminpasswordfil nextcloud admin pwd defin name set temporari permiss command line instal file path nextcloud webroot state directori recurs ye owner websrv user group websrv group name web servic start servic name item statestart item nginx php php ver fpm name run occ instal command becom becom user websrv user command php occ mainten instal databas nextcloud backend databasenam nextcloud name databaseus nextcloud admin databasepass nextcloud pwd adminus nextcloud admin name adminpass nextcloud admin pwd datadir nextcloud data dir arg chdir nextcloud webroot creat nextcloud webroot path name add nextcloud trust domain path lineinfil dest nextcloud webroot path line nextcloud trust domain insertaft state present name add local cach path lineinfil dest nextcloud webroot path line path ocmemcacheapcu insertbefor state present name ensur nextcloud directori command find nextcloud data dir type exec chmod regist chmod result chang chmod path name ensur nextcloud file command find nextcloud data dir type exec chmod regist chmod result chang chmod path name set stronger directori ownership file path nextcloud webroot item recurs ye owner websrv user group websrv group state directori item app asset config theme updat name give execut permiss occ file path nextcloud webroot occ mode
0.0,3.0,2.0,2.0,-4.0,-4.0,-4.0,7cbb387e580ac6803dacd033325e8400e90350d5,1.0,1473896316.0,1.0,yes,tasks/main.yml,100.0,13.0,41.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,166.0,13.0,0.0,2.0,aalaesar/install_nextcloud,6.21,includ taskssetup path name check environ path stat path nextcloud webroot path regist wroot block name download extract nextcloud tmp unarch copi src nextcloud url nextcloud nextcloud version path dest tmp name move extract file nextcloud webroot command tmpnextcloud nextcloud webroot name remov nextcloud archiv file file pathtmpnextcloud stateabs path defin path name configur sql databas includ tasksmysql path nextcloud backend mysql nextcloud backend mariadb name verifi permiss instal tl certif includ taskstl path nextcloud tl cert method instal name instal given sign certif includ taskstl path nextcloud tl cert method sign name configur self sign tl certif includ taskstl path nextcloud tl cert method selfsign name configur nginx web server includ tasksnginx path nextcloud websrv nginx name configur apach web server includ tasksapach path nextcloud websrv apach name trigger pend handler meta flush handler name check nextcloud instal file stat path nextcloud webroot path regist wroot name run nextcloud command line instal includ tasksinstal path path defin path
0.0,6.0,1.0,1.0,6.0,6.0,6.0,c565961262b4b71e02cf70f2b62d9bbe479641c1,1.0,1473896379.0,1.0,no,tasks/install_nc.yml,100.0,12.0,79.0,12.0,7.0,7.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,311.0,11.0,0.0,2.0,aalaesar/install_nextcloud,6.48,name set directori ownership permiss data folder file path nextcloud data dir mode urw orwx recurs ye state directori owner websrv user group websrv group name gener nextcloud admin name password set fact nextcloud admin pwd lookup password tmpncadminpasswordfil nextcloud admin pwd defin name set temporari permiss command line instal file path nextcloud webroot state directori recurs ye owner websrv user group websrv group name web servic start servic name item statestart item nginx php php ver fpm set fact nextcloud tmp backend nextcloud backend nextcloud backend mariadb set fact nextcloud tmp backend mysql nextcloud backend mariadb name run occ instal command becom becom user websrv user command php occ mainten instal databas nextcloud tmp backend databasenam nextcloud name databaseus nextcloud admin databasepass nextcloud pwd adminus nextcloud admin name adminpass nextcloud admin pwd datadir nextcloud data dir arg chdir nextcloud webroot creat nextcloud webroot path name add nextcloud trust domain path lineinfil dest nextcloud webroot path line nextcloud trust domain insertaft state present name add local cach path lineinfil dest nextcloud webroot path line path ocmemcacheapcu insertbefor state present name ensur nextcloud directori command find nextcloud data dir type exec chmod regist chmod result chang chmod path name ensur nextcloud file command find nextcloud data dir type exec chmod regist chmod result chang chmod path name set stronger directori ownership file path nextcloud webroot item recurs ye owner websrv user group websrv group state directori item app asset config theme updat name give execut permiss occ file path nextcloud webroot occ mode
0.0,6.0,2.0,2.0,-9.0,-9.0,-9.0,30b043c9219712eaea9cf81a1a02d9074660935a,1.0,1473896428.0,1.0,no,tasks/install_nc.yml,100.0,11.0,79.0,4.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,311.0,11.0,0.0,2.0,aalaesar/install_nextcloud,6.48,name set directori ownership permiss data folder file path nextcloud data dir mode urw orwx recurs ye state directori owner websrv user group websrv group name gener nextcloud admin name password set fact nextcloud admin pwd lookup password tmpncadminpasswordfil nextcloud admin pwd defin name set temporari permiss command line instal file path nextcloud webroot state directori recurs ye owner websrv user group websrv group name web servic start servic name item statestart item nginx php php ver fpm set fact nextcloud tmp backend nextcloud backend nextcloud backend mariadb set fact nextcloud tmp backend mysql nextcloud backend mariadb name run occ instal command becom becom user websrv user command php occ mainten instal databas nextcloud tmp backend databasenam nextcloud name databaseus nextcloud admin databasepass nextcloud pwd adminus nextcloud admin name adminpass nextcloud admin pwd datadir nextcloud data dir arg chdir nextcloud webroot creat nextcloud webroot path name add nextcloud trust domain path lineinfil dest nextcloud webroot path line nextcloud trust domain insertaft state present name add local cach path lineinfil dest nextcloud webroot path line path ocmemcacheapcu insertbefor state present name ensur nextcloud directori command find nextcloud data dir type exec chmod regist chmod result chang chmod path name ensur nextcloud file command find nextcloud data dir type exec chmod regist chmod result chang chmod path name set stronger directori ownership file path nextcloud webroot item recurs ye owner websrv user group websrv group state directori item app asset config theme updat name give execut permiss occ file path nextcloud webroot occ mode
0.0,5.0,2.0,2.0,3.0,3.0,3.0,43cb8334d95202bd6acfe1b61e7bd30fcaeb9b09,1.0,1474077984.0,1.0,yes,tasks/mysql_config.yml,100.0,17.0,60.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,242.0,16.0,0.0,1.0,aalaesar/install_nextcloud,6.29,name nextcloud backend servic instal packag name nextcloud backend server statepres name php modul nextcloud backend instal packag namephp php ver mysql statepres name python modul mysqldb present packag namepythonmysqldb statepres name check credenti stat path regist mycr block name gener nextcloud backend root password set fact mysql root pwd lookup password tmpmysqlrootpasswordfil debug varmysql root pwd name updat nextcloud backend root password mysql user name root host item password mysql root pwd login user root login password check implicit admin ye priv grant item ignor error ye name make file path file path statetouch mode name add content path blockinfil dest path block client userroot password mysql root pwd mysql root pwd defin path defin path name delet anonym user mysql user user state absent ignor error ye name remov sql test databas mysql nametest stateabs ignor error ye name fix mysql binari log nextcloud copi dest path format path src filesbinlog format path notifi restart mysql nextcloud backend mysql name gener databas password set fact nextcloud pwd lookup password tmpmysqlpasswordfil nextcloud pwd defin debug varnextcloud pwd name add databas nextcloud name mysql name nextcloud name statepres name configur databas user mysql user name nextcloud admin password nextcloud pwd priv nextcloud name state present
0.0,8.0,2.0,2.0,-1.0,-1.0,-1.0,43cb8334d95202bd6acfe1b61e7bd30fcaeb9b09,1.0,1474077984.0,1.0,no,tasks/nginx_config.yml,100.0,7.0,60.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,216.0,9.0,0.0,0.0,aalaesar/install_nextcloud,6.41,name http set requir packag packag name item statepres item nginx php php ver fpm php php ver php php ver json php php ver curl php php ver xml php php ver zip php php ver intl php php ver mcrypt php php ver mbstring name http apcu instal packag name php pkg apcu statepres ansibl distribut releas trusti block name http configur trusti backport lineinfil dest path line deb trustybackport name http instal apcu backport apt name php pkg apcu statelatest default releasetrustybackport updat cachey ansibl distribut releas trusti name http remov comment line phpfpm conf lineinfil dest php dir path regexp env state absent notifi reload phpfpm name http add path variabl phpfpm blockinfil dest php dir path insertaft default valu clean env marker mark ansibl manag block block env hostnam hostnam env path path env tmp tmp env tmpdir tmp env temp tmp notifi reload phpfpm name http enabl apc php cli lineinfil dest php dir path line path cli insertbefor end state present notifi reload phpfpm name http gener nextcloud configur nginx templat dest path src templatesnginx path notifi reload nginx name http enabl nextcloud nginx conf file path etcnginxsitesenablednextcloud src path state link notifi reload nginx
0.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,c9ed0fa5da99d6d8f28ff88ac6b55caf393d961a,1.0,1474078066.0,1.0,yes,tasks/main.yml,100.0,12.0,41.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,165.0,13.0,0.0,2.0,aalaesar/install_nextcloud,6.22,includ taskssetup path name check environ path stat path nextcloud webroot path regist wroot block name download extract nextcloud tmp unarch copi src nextcloud url nextcloud nextcloud version path dest tmp name move extract file nextcloud webroot command tmpnextcloud nextcloud webroot name remov nextcloud archiv file file pathtmpnextcloud stateabs path defin path name verifi permiss instal tl certif includ taskstl path nextcloud tl cert method instal name instal given sign certif includ taskstl path nextcloud tl cert method sign name configur self sign tl certif includ taskstl path nextcloud tl cert method selfsign name configur nginx web server includ tasksnginx path nextcloud websrv nginx name configur apach web server includ tasksapach path nextcloud websrv apach name trigger pend handler meta flush handler name configur nextcloud backend databas includ tasksmysql path nextcloud backend mysql mariadb name check nextcloud instal file stat path nextcloud webroot path regist wroot name run nextcloud command line instal includ tasksinstal path path defin path
