avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,5.0,1.0,1.0,0.0,0.0,0.0,44d608f3946aedca47e160a941a9ce72f2bab14b,0.0,1496957257.0,0.0,no,tasks/main.yml,0.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,0.0,0.0,0.0,tasks/main.yml,Oefenweb/ansible-php-cli-ondrej,3.45,includ path tag configur phpcliondrej phpcliondrejversionsupport includ path tag configur phpcliondrej phpcliondrejrepositori includ path tag configur phpcliondrej phpcliondrejinstal includ path tag configur phpcliondrej phpcliondrejconfigur includ path tag configur phpcliondrej phpcliondrejmodsinstal includ path tag configur phpcliondrej phpcliondrejmodsst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1.0,1.0,0.0,0.0,0.0,44d608f3946aedca47e160a941a9ce72f2bab14b,0.0,1496957257.0,0.0,no,tasks/mods-install.yml,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,2.0,0.0,0.0,tasks/mods-install.yml,Oefenweb/ansible-php-cli-ondrej,3.87,name mod instal instal apt name path default php cli ondrej mod depend path default state apt instal state default latest item php cli ondrej mod present tag phpcliondrejmodsinstallinstal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,0.0,0.0,0.0,44d608f3946aedca47e160a941a9ce72f2bab14b,0.0,1496957257.0,0.0,no,tasks/repository.yml,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,tasks/repository.yml,Oefenweb/ansible-php-cli-ondrej,3.46,name repositori add apt repositori repo ppa ondrejphp updat cach tag phpcliondrejrepositoryadd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,1.0,0.0,0.0,0.0,44d608f3946aedca47e160a941a9ce72f2bab14b,0.0,1496957257.0,0.0,no,tasks/install.yml,0.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,42.0,2.0,0.0,0.0,tasks/install.yml,Oefenweb/ansible-php-cli-ondrej,3.89,name instal depend apt name item state apt instal state default latest item php cli ondrej depend tag phpcliondrejinstalldepend name instal addit apt name item state apt instal state default latest item php cli ondrej instal tag phpcliondrejinstalladdit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1.0,1.0,0.0,0.0,0.0,44d608f3946aedca47e160a941a9ce72f2bab14b,0.0,1496957257.0,0.0,no,tasks/configuration.yml,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,3.0,0.0,0.0,tasks/configuration.yml,Oefenweb/ansible-php-cli-ondrej,4.7,name configur updat altern altern name php path usrbinphp php cli ondrej version php cli ondrej updat altern tag phpcliondrejconfigurationupdatealtern name configur updat path templat src php cli ondrej configur path path dest php cli ondrej configur file owner root group root mode tag phpcliondrejconfigurationgener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,2.0,2.0,0.0,0.0,0.0,06fb558a39699fab50b71415b70ce70ce8d98eca,1.0,1503932865.0,1.0,no,meta/main.yml,100.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,0.0,0.0,meta/main.yml,Oefenweb/ansible-php-cli-ondrej,5.11,galaxi info author mischa ter smitten compani path path descript set php cli ubuntu system use ondřej surý ppa licens mit min ansibl version platform name ubuntu version precis trusti xenial galaxi tag system web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,2.0,2.0,0.0,0.0,0.0,06fb558a39699fab50b71415b70ce70ce8d98eca,0.0,1503932865.0,0.0,no,tasks/mods-state.yml,0.0,3.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,132.0,4.0,0.0,1.0,tasks/mods-state.yml,Oefenweb/ansible-php-cli-ondrej,5.47,name mod state touch prioriti copi content dest php cli ondrej mod avail path item path forc item php cli ondrej mod present name php cli ondrej mod absent name tag phpcliondrejmodsstateprior phpcliondrejmodsstateprioritiestouch name mod state get prioriti command sed prioriti php cli ondrej mod avail path item path regist php cli ondrej modul prioriti chang item php cli ondrej mod present name php cli ondrej mod absent name tag phpcliondrejmodsstateprior phpcliondrejmodsstateprioritiesget name mod state disabl command phpdismod php cli ondrej version cli path arg remov php cli ondrej conf file path default path path item php cli ondrej modul path path php cli ondrej mod absent name union php cli ondrej mod present disabl name tag phpcliondrejmodsstatedis name mod state enabl command phpenmod php cli ondrej version cli path arg creat php cli ondrej conf file path default path path item php cli ondrej modul path path php cli ondrej mod present name differ php cli ondrej mod present disabl name tag phpcliondrejmodsstateen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,06fb558a39699fab50b71415b70ce70ce8d98eca,0.0,1503932865.0,0.0,no,tasks/version-support.yml,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,tasks/version-support.yml,Oefenweb/ansible-php-cli-ondrej,4.25,name version support check fail msg php version php cli ondrej version support php cli ondrej version string php cli ondrej version support tag phpcliondrejversionsupportcheck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,06fb558a39699fab50b71415b70ce70ce8d98eca,0.0,1503932865.0,0.0,no,tasks/main.yml,0.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,0.0,0.0,0.0,tasks/main.yml,Oefenweb/ansible-php-cli-ondrej,3.45,includ path tag configur phpcliondrej phpcliondrejversionsupport includ path tag configur phpcliondrej phpcliondrejrepositori includ path tag configur phpcliondrej phpcliondrejinstal includ path tag configur phpcliondrej phpcliondrejconfigur includ path tag configur phpcliondrej phpcliondrejmodsinstal includ path tag configur phpcliondrej phpcliondrejmodsst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,2.0,2.0,0.0,0.0,0.0,06fb558a39699fab50b71415b70ce70ce8d98eca,0.0,1503932865.0,0.0,no,tasks/mods-install.yml,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,2.0,0.0,0.0,tasks/mods-install.yml,Oefenweb/ansible-php-cli-ondrej,3.87,name mod instal instal apt name path default php cli ondrej mod depend path default state apt instal state default latest item php cli ondrej mod present tag phpcliondrejmodsinstallinstal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
