avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,5.0,6.0,120.0,164.0,18.0,123.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,9.0,1411236702.0,1.0,0.0,oraswgi-install/tasks/main.yml,100.0,28.0,134.0,2.0,204.0,23.0,123.0,40.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,19.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,28.0,574.0,23.0,0.0,0.0,7.0,oraswgi-install/tasks/main.yml,oravirt/ansible-oracle,6.55,name check alreadi instal shell grep oracl home oracl inventori loc content path tag checkifgiinstal regist checkgiinstal debug path tag checkifgiinstal name add new dotprofil templat path dest oracl user home oracl profil name owner oracl user group oracl group mode backupy tag dotprofilegi name creat stage directori base file dest oracl stage mode owner oracl user group oracl group statedirectori tag directori name creat stage directori version specif file dest oracl stage path mode owner oracl user group oracl group statedirectori item oracl imag tag directori name creat rsp stage directori file dest oracl rsp stage mode owner oracl user group oracl group statedirectori tag directori name creat oracl inventori directori file dest oracl inventori loc mode owner oracl user group oracl group statedirectori tag directori name creat oracl base directori file dest oracl base mode owner oracl user group oracl group statedirectori tag directori name creat oracl home directori file dest oracl home mode owner oracl user group oracl group statedirectori tag directori path name copi oracl installfil server web get url url oracl sourc www path dest oracl stage mode item oracl imag tag oragridsw master node path sourc local name copi oracl installfil server local get url url oracl sourc local path dest oracl stage mode item oracl imag tag oragridsw master node path sourc local name extract file stagearea unarch src oracl stage path dest oracl stage path copyno item oracl imag tag oragridswunpack master node name setup respons file instal templat path dest oracl rsp stage oracl grid responsefil owner oracl user group oracl group mode backupy tag responsefilegi master node name instal grid infrastructur shell oracl stage oracl instal version gridrun instal respons file oracl rsp stage oracl grid responsefil ignor prereq ignor sy prereq silent tag oragridinstal master node path regist giinstal debug path line master node path name run ora instroot script instal shell sudo oracl inventori loc orainst path tag runroot path name run root script instal master node shell sudo oracl home path tag runroot master node path regist rootmast name run root script instal node shell sudo oracl home path tag runroot master node path regist roototh debug path line master node path name setup respons file config tool command templat path dest oracl rsp stage path owner oracl user group oracl group mode backupy tag responsefileconfigtool master node run configtoolallcommand path name run config tool command shell oracl home cfgtoollogsconfig tool command respons file oracl rsp stage path tag runconfigtool master node run configtoolallcommand path regist configtool name check stuff run shell oracl home bincrsctl stat re tag crsctl regist crsctl master node path debug path line tag crsctl master node path name updat nodelist set crstrue shell oracl home ouibinrun instal updat node list oracl home oracl home crstrue tag updatenodelist master node path name add addit info path lineinfil dest oracl home path lineset sqlprompt user connect identifi backupy tag glogin path name add addit info path lineinfil dest oracl home path lineset time backupy tag glogin path name check opatch lsinventori shell oracl home opatchopatch lsinventori regist opatchl tag opatchl path debug path line tag opatchl path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,6.0,120.0,6.0,3.0,6.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,2.0,1411236702.0,1.0,0.0,orahost/handlers/main.yml,100.0,1.0,4.0,0.0,10.0,5.0,6.0,4.0,2.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,orahost/handlers/main.yml,oravirt/ansible-oracle,3.1,name restart network servic namenetwork staterestart name restart server shell reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,6.0,120.0,218.0,31.0,174.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,7.0,1411236702.0,1.0,1.0,orahost/tasks/main.yml,100.0,38.0,166.0,14.0,247.0,35.0,174.0,29.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,28.0,5.0,0.0,0.0,6.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,33.0,646.0,33.0,0.0,0.0,3.0,orahost/tasks/main.yml,oravirt/ansible-oracle,7.22,name user add group group name oracl group gid oracl group statepres tag group name user add oracl user user name oracl user group oracl group uid oracl user gener ssh keyy appendy statepres password oracl passwd tag user name user add oracl user sudoer templat path path oracl user ownerroot mode tag sudoadd name sshkey gener ssh key local action shell usrbinrm tmpid rsa sshkeygen tmpid rsa chmod tmpid rsa cat tmpid path tmpauthor key ignor error configur ssh master node configur cluster tag sshkey name sshkey add sshkey author key copi srctmp item path owneroracl groupdba forcey mode configur ssh configur cluster item rsa path author key tag sshkey name sshkey add short name known host local action shell sshkeyscan ansibl ssh portdefault inventori hostnam devnul keyfil ignor error configur ssh configur cluster tag sshkey name sshkey add fqdn known host local action shell sshkeyscan ansibl ssh portdefault ansibl fqdn devnul keyfil ignor error configur ssh configur cluster tag sshkey name sshkey add ipv known host local action shell sshkeyscan ansibl ssh portdefault ansibl default path devnul keyfil ignor error configur ssh configur cluster tag sshkey name sshkey copi known host place copi src keyfil desthom oracl user path host owner oracl user group oracl group owner oracl user group oracl group configur ssh configur cluster tag sshkey name sshkey remov gener key control machin local action file path tmp item stateabs item rsa path author key known host master node configur ssh configur cluster tag sshkey name filesystem creat partit script path path dict host layout configur host disk tag hostf name filesystem creat lvg path pv path statepres option dict host layout configur host disk tag hostf name filesystem creat lvol path path size free statepres dict host layout configur host disk tag hostf name filesystem creat filesystem fstypeext devdev path path dict host layout configur host disk tag hostf name filesytem mount dir mount name path srcdev path path dump passno fstypeext statemount dict host layout configur host disk tag hostf name filesystem chang permiss directori file path path statedirectori owner oracl user group oracl group dict host layout tag hostf name instal packag requir oracl yum name item stateinstal item oracl packag name oraclerecommend kernel set sysctl name path valu path statepres reloady ignoreerrorsy item oracl sysconfig tag sysconfig name oraclerecommend pam config lineinfil path statepres line session requir pam path tag pamconfig name oraclerecommend secur limit lineinfil path statepres line item item oracl seclimit tag seclimit name count number kernel line need chang numaoff transpar hugepagenev shell cat path grep titl regist count tag thpnuma name disabl transpar hugepag path lineinfil path backuptru backrefstru statepres regexp skernel transpar hugepagenev line transpar hugepagenev sequenc start end path tag thpnuma name disabl numa path lineinfil path backuptru backrefstru statepres regexp skernel numaoff line numaoff sequenc start end path tag thpnuma disabl numa boot name disabl transpar hugepag runtim shell test syskernelmmtranspar hugepageen echo never syskernelmmtranspar hugepageen tag tphnuma name disabl selinux perman selinux statedis tag selinux regist selinux name disabl selinux runtim shell setenforc tag selinux ignor error name network setup ipaddress rac interconnect templat path destetcsysconfignetworkscriptsifcfgeth ownerroot mode configur interconnect configur cluster tag eth regist name network bring eth servic namenetwork staterestart configur interconnect configur cluster path tag eth name asmlib configur oracl asmlib templat path destetcsysconfigoracleasm ownerroot mode forcey tag asmlibconfig name asmlib enabl start oracl asmlib servic nameoracleasm statestart enabledy tag asmlibconfig name asmlib restart asmlib servic nameoracleasm staterestart tag asmlibconfig name creat stage directori file dest oracl stage mode owner oracl user group oracl group statedirectori name creat rsp stage directori file dest oracl rsp stage mode owner oracl user group oracl group statedirectori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,6.0,120.0,100.0,100.0,100.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,1.0,1411236702.0,1.0,0.0,oraswgi-opatch/tasks/main.yml,100.0,13.0,86.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,290.0,8.0,0.0,0.0,5.0,oraswgi-opatch/tasks/main.yml,oravirt/ansible-oracle,5.93,name creat stage directori file dest oracl psu stage mode owner oracl user group oracl group statedirectori tag directori oracl psu appli name copi oracl installfil server get url url oracl sourc item dest oracl stage mode item oracl opatch patch oracl psu patch oracl ocm rsp oracl psu appli tag oragridpatchget name extract file stagearea unarch src oracl stage item dest oracl psu stage copyno item oracl opatch patch oracl psu patch oracl psu appli tag oragridpatchunpack name chang permiss stage patch shell chown oracl user oracl group oracl psu stage sudo user root oracl psu appli tag oragridpatchunpack name distribut latest opatch shell oracl home opatch rvp oracl psu stage opatch oracl home sudo user root oracl psu appli tag oragridnewopatch name appli psu master node shell oracl home opatchopatchauto appli oracl psu stage oracl psu num oracl home ocmrf oracl stage oracl ocm rsp sudo user root tag oragridpsuappli master node oracl psu appli regist psuapplym debug path line master node oracl psu appli tag psuapplym name check stuff run shell oracl home bincrsctl stat re tag crsctl regist crsctl master node oracl psu appli debug path line tag crsctl master node name appli psu node shell oracl home opatchopatchauto appli oracl psu stage oracl psu num oracl home ocmrf oracl stage oracl ocm rsp sudo user root tag oragridpsuappli master node oracl psu appli regist psuapplyo debug path line master node oracl psu appli tag psuapplyo name check stuff run shell oracl home bincrsctl stat re tag crsctl regist crsctl master node oracl psu appli debug path line tag crsctl master node name check opatch lsinventori shell oracl home opatchopatch lsinventori regist opatchl oracl psu appli tag opatchl debug path line oracl psu appli tag opatchl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,120.0,17.0,8.0,17.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,2.0,1411236702.0,1.0,0.0,oraasm-configureasm/tasks/main.yml,100.0,4.0,12.0,0.0,19.0,10.0,17.0,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,59.0,2.0,0.0,0.0,1.0,oraasm-configureasm/tasks/main.yml,oravirt/ansible-oracle,4.98,name asmca creat script configur asminst templat path dest oracl rsp stage path owner oracl user group oracl group mode backupy master node oracl instal option config tag asmcaha name asmca configur asminst shell oracl rsp stage path master node oracl instal option config tag asmcaha regist asmcaha debug path line master node oracl instal option config tag asmcaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,6.0,120.0,84.0,84.0,84.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,1.0,1411236702.0,1.0,0.0,oraswgi-clone/tasks/main.yml,100.0,17.0,61.0,5.0,84.0,84.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,254.0,12.0,0.0,0.0,3.0,oraswgi-clone/tasks/main.yml,oravirt/ansible-oracle,6.09,name add new dotprofil templat path dest oracl user home oracl profil name owner oracl user group oracl group mode backupy tag dotprofil name creat stage directori file dest oracl stage mode owner oracl user group oracl group statedirectori tag directori name creat oracl inventori directori file dest oracl inventori loc mode owner oracl user group oracl group statedirectori tag directori name creat oracl base directori file dest oracl base mode owner oracl user group oracl group statedirectori tag directori name creat oracl home directori file dest oracl home mode owner oracl user group oracl group statedirectori tag directori name copi oracl imag server get url url oracl sourc oracl imag dest oracl stage mode tag oragridimageget name file alreadi unpack shell oracl home awk print regist size tag oragridimageunpack debug path tag oragridimageunpack name extract file oracl home shell tar oracl stage oracl imag oracl home path tag oragridimageunpack name setup clone script templat path dest oracl stage clone oracl home name path owner oracl user group oracl group mode backupy tag clonescript name clone new oracl home add inventori shell perl oracl home path silent oracl base oracl base oracl home oracl home oracl home name oracl home name inventori locat oracl inventori loc cluster node oracl cluster node local node oracl local node crstrue regist cloneout tag oragridclon debug path line tag opatchl name run ora instroot script clone oracl home shell sudo oracl inventori loc orainst path tag runrootclon name check opatch lsinventori shell oracl home opatchopatch lsinventori regist opatchl tag opatchl debug path line tag opatchl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,6.0,120.0,68.0,68.0,68.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,1.0,1411236702.0,1.0,0.0,oraswracdb-clone/tasks/main.yml,100.0,14.0,41.0,12.0,68.0,68.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,178.0,9.0,0.0,0.0,1.0,oraswracdb-clone/tasks/main.yml,oravirt/ansible-oracle,5.54,name add new dotprofil templat path dest oracl user home oracl profil name owner oracl user group oracl group mode backupy tag dotprofil name creat stage directori file dest oracl stage mode owner oracl user group oracl group statedirectori tag directori name creat oracl inventori directori file dest oracl inventori loc mode owner oracl user group oracl group statedirectori tag directori name creat oracl base directori file dest oracl base mode owner oracl user group oracl group statedirectori tag directori name creat oracl home directori file dest oracl home mode owner oracl user group oracl group statedirectori tag directori name copi oracl imag server get url url oracl imag sourc oracl imag dest oracl stage mode tag oradbimageget name file alreadi unpack shell oracl home awk print regist size tag oradbimageunpack debug path tag oradbimageunpack name extract file oracl home shell tar oracl stage oracl imag oracl home path tag oradbimageunpack name setup clone script templat path dest oracl stage clone oracl home name path owner oracl user group oracl group mode backupy tag clonescript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,120.0,22.0,22.0,22.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,1.0,1411236702.0,1.0,0.0,oralsnr/tasks/main.yml,100.0,4.0,8.0,9.0,22.0,22.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,38.0,2.0,0.0,0.0,0.0,oralsnr/tasks/main.yml,oravirt/ansible-oracle,4.1,name oralsnr add listen shell oracl home binsrvctl add listen master node oracl instal option config tag listen name oralsnr start listen shell oracl home binsrvctl start listen master node oracl instal option config tag listen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,6.0,120.0,49.0,24.0,49.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,2.0,1411236702.0,1.0,0.0,orahost-storage/tasks/main.yml,100.0,8.0,39.0,1.0,59.0,30.0,49.0,10.0,5.0,10.0,5.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,161.0,7.0,0.0,0.0,1.0,orahost-storage/tasks/main.yml,oravirt/ansible-oracle,5.43,name asmlib creat devic label map asm templat path dest oracl rsp stage asmlabeldevicemap item path item asm diskgroup master node tag shareddisk name asmlib build script creat partit templat path dest oracl rsp stage partdevic item path owner oracl user group oracl group mode item asm diskgroup master node tag shareddisk name asmlib run script creat partit shell oracl rsp stage partdevic item path item asm diskgroup master node tag shareddisk name asmlib build script creat asmlabel templat path dest oracl rsp stage labelasmdisk item path owner oracl user group oracl group mode item asm diskgroup master node tag shareddisk name asmlib run script creat asmlabel shell oracl rsp stage labelasmdisk item path item asm diskgroup master node tag shareddisk name asmlib rescan asm disk shell servic oracleasm scandisk tag shareddisk name asmlib list asm disk shell servic oracleasm listdisk regist listdisk tag listdisk debug path line tag listdisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,6.0,120.0,34.0,17.0,34.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,2.0,1411236702.0,1.0,1.0,oraasm-createdg/tasks/main.yml,100.0,6.0,27.0,0.0,39.0,20.0,34.0,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,93.0,3.0,0.0,0.0,2.0,oraasm-createdg/tasks/main.yml,oravirt/ansible-oracle,5.29,name asmca creat script build asmdiskgroup templat path dest oracl rsp stage asmcacreatedg item path owner oracl user group oracl group mode backupy item asm diskgroup master node tag asmca name asmca creat asm diskgroup shell oracl rsp stage asmcacreatedg item path item asm diskgroup master node ignor error tag asmca regist asmca debug path line item path tag asmca name asmca list asm diskgroup shell oracl home binsrvctl statu diskgroup diskgroup item item asm diskgroup master node tag srvctlasm regist srvctlasm debug path line item path tag srvctlasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,120.0,48.0,24.0,64.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,2.0,1411236702.0,1.0,0.0,common/tasks/main.yml,100.0,11.0,16.0,20.0,69.0,34.0,64.0,21.0,10.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,4.0,0.0,0.0,0.0,common/tasks/main.yml,oravirt/ansible-oracle,5.08,name instal epel repo yum name epel rpm stateinstal tag epelrepo name get newest repofil publicyum get url dest repo dir repo file urlhttp path repo file backupy tag olrepo name instal common packag yum name item stateinstal item common packag tag commonpackag name start enabl ntp servic namentpd statestart enabledy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,6.0,120.0,152.0,15.0,129.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,10.0,1411236702.0,1.0,1.0,oraswdb-install/tasks/main.yml,100.0,23.0,120.0,8.0,200.0,20.0,129.0,48.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,21.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,423.0,18.0,0.0,0.0,3.0,oraswdb-install/tasks/main.yml,oravirt/ansible-oracle,6.51,name check dbserver alreadi instal shell grep oracl home oracl inventori loc content path dict oracl databas tag checkifdbinstal regist checkdbswinstal debug path item path master node tag checkifdbinstal name add new dotprofil templat path dest oracl user home oracl profil name owner oracl user group oracl group mode backupy dict oracl databas tag dotprofiledb name add ora path templat srcora path destetcora path owner oracl user group oracl group mode backupy sudo ye sudo user root tag orainst name creat stage directori base file dest oracl stage mode owner oracl user group oracl group statedirectori tag directoriesdb name creat stage directori version specif file dest oracl stage path mode owner oracl user group oracl group statedirectori item oracl imag tag directoriesdb name creat rsp stage directori file dest oracl rsp stage mode owner oracl user group oracl group statedirectori tag directoriesdb name creat oracl inventori directori file dest oracl inventori loc mode owner oracl user group oracl group statedirectori tag directoriesdb name creat oracl base directori file dest oracl base mode owner oracl user group oracl group statedirectori tag directoriesdb name creat oracl home directori file dest oracl home mode owner oracl user group oracl group statedirectori dict oracl databas tag directoriesdb name transfer oracl installfil server www get url url oracl sourc www path dest oracl stage mode item oracl imag master node sourc local tag oradbsw name transfer oracl installfil server local copi src oracl sourc local path dest oracl stage mode item oracl imag master node sourc local tag oradbsw name extract file stagearea unarch src oracl stage path dest oracl stage path copyno item oracl imag master node tag oradbswunpack name setup respons file instal templat path dest oracl rsp stage oracl responsefil togeth oracl databas path master node path tag responsefileswdb name instal oracl databas server shell oracl stage oracl databas item path version databaserun instal respons file oracl rsp stage oracl responsefil ignor prereq ignor sy prereq silent togeth oracl databas path master node path tag oradbinstal regist oradbinstal debug path line item path master node tag oradbinstal name run root script instal shell oracl home instal path sudo ye sudo user root togeth oracl databas path master node path tag runroot name add addit info path lineinfil dest oracl home path lineset sqlprompt user connect identifi backupy dict oracl databas tag glogin name add addit info path lineinfil dest oracl home path lineset time backupy dict oracl databas tag glogin name check opatch lsinventori shell oracl home opatchopatch lsinventori dict oracl databas master node regist opatchl tag opatchl debug path line item path master node tag opatchl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,6.0,120.0,60.0,15.0,42.0,9fdba30bb1e1f2adefda9e0ed795f09899a82cb9,4.0,1411236702.0,1.0,0.0,oradb-create/tasks/main.yml,100.0,9.0,37.0,13.0,72.0,18.0,42.0,12.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,123.0,4.0,0.0,0.0,3.0,oradb-create/tasks/main.yml,oravirt/ansible-oracle,5.86,name check databas alreadi creat shell grep path name oracl home etcoratab dict oracl databas tag checkifdbexist regist checkdbexist name creat responsefil dbca templat path dest oracl rsp stage oracl dbca rsp owner oracl user group oracl group mode backupno togeth oracl databas path master node path tag checkifdbexist name creat databas shell oracl home instal bindbca respons file oracl rsp stage oracl dbca rsp silent togeth oracl databas path master node path tag oradbcr regist oradbcr debug path line item path tag oradbcr name check databas regist shell oracl home binsrvctl config databas oracl instal option cr config oracl instal option config tag srvctlconfig regist srvctlconfig debug path line oracl instal option cr config oracl instal option config tag srvctlconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
