avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,4.0,6.0,0.0,0.0,0.0,6a81bb7dd306c399769d0743f2bf0f06f1e9b930,0.0,1418065199.0,0.0,no,tasks/main.yml,0.0,56.0,242.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,16.0,2.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,632.0,41.0,0.0,4.0,plone/ansible.plone_server,7.04,name fail plone initi password set fail msg must set plone initi password variabl plone initi password name ensur requir packag apt pkg item statepres item buildessenti pythondev pythonpip libzdev libssldev libjpegdev libxsltdev popplerutil lynxcur unzip supervisor git name ensur recent pythonvirtualenv pip namevirtualenv name superl instal plone client max memori pip namesuperl version name ensur plone group group nameplon group name ensur plone buildout user nameplon buildout groupplon group gener ssh keyy name ensur plone daemon user nameplon daemon groupplon group name ensur base directori file path plone target path statedirectori name instanc var base directori file path plone var path statedirectori mode name instanc backup base directori plone backup path file path plone backup path statedirectori mode name python virtualenv command usrlocalbinvirtualenv pythonpython plone python version plone target path python plone python version creat plone target path python plone python version name check exist buildout cach stat path plone target path buildoutcach regist cach stat name load buildout cach host file plone buildout cach file cach path unarch creat plone target path buildoutcach src plone buildout cach file dest plone target path ownerplon buildout groupplon group name download buildout cach need plone buildout cach url plone buildout cach file cach path get url url plone buildout cach url dest plone target path path forc name unpack download buildout cach plone buildout cach url command tar path arg chdir plone target path creat plone target path buildoutcach name delet old buildout cach tarbal file path plone target path path stateabs name fix file ownership cach plone buildout cach file plone buildout cach url file path plone target path buildoutcach ownerplon buildout groupplon group recursey name buildout cach directori file path plone target path buildoutcach statedirectori ownerplon buildout groupplon group name buildout cach egg directori file path plone target path buildoutcacheegg statedirectori ownerplon buildout groupplon group name buildout cach download directori file path plone target path buildoutcachedownload statedirectori ownerplon buildout groupplon group name instanc directori file path plone target path plone instanc name statedirectori ownerplon buildout groupplon group name copi buildout skeleton plone buildout git repo copi srczeoclust dest plone target path plone instanc name ownerplon buildout groupplon group name instanc directori via git plone buildout git repo git repo plone buildout git repo forceno dest plone target path plone instanc name version plone buildout git version default head depth accept hostkeyy sudo user plone buildout name instanc var directori file path plone var path plone instanc name statedirectori ownerplon daemon groupplon group mode name instanc backup directori plone backup path file path plone backup path plone instanc name statedirectori ownerplon daemon groupplon group mode name python egg directori file path plone var path path statedirectori ownerplon daemon groupplon group name copi buildout templat plone buildout git repo templat path dest plone target path plone instanc name path ownerplon buildout groupplon group backupy regist instanc statu name bootstrap buildout command path plone python version binpython path creat plone target path plone instanc name binbuildout chdir plone target path plone instanc name sudo user plone buildout name run buildout plone autorun buildout instanc path command binbuildout chdir plone target path plone instanc name sudo user plone buildout name look exist databas plone creat site stat path plone var path plone instanc name path regist statu name supervisor process control setup plone use supervisor templat srcsupervisor path dest supervisor config dir path ownerroot grouproot mode regist supervisor task conf name supervisor task list updat plone use supervisor supervisor task confchang shell supervisorctl updat name supervisor zeoserv task present plone use supervisor supervisorctl namezeoserv statepres name supervisor zeoclient task present plone use supervisor supervisorctl namezeocli item statepres sequenc count plone client count name supervisor zeoclient task restart plone use supervisor plone autorun buildout instanc path supervisorctl namezeocli item staterestart sequenc count plone client count name ensur script directori file path plone target path plone instanc name script statedirectori name creat restart script templat srcrestart path dest plone target path plone instanc name scriptsrestart path ownerroot grouproot mode name instal site creation run script templat srcadd plone path dest plone target path plone instanc name binadd plone path mode name creat initi plone site plone use supervisor plone creat site path sudo user plone daemon command binclient reserv run binadd plone path arg chdir plone target path plone instanc name name pack cron job plone pack cron name plone pack job plone target path plone instanc name binzeopack userplon daemon minut plone pack minut hour plone pack path weekday plone pack path name backup cron job plone backup cron name plone backup job plone target path plone instanc name binbackup userplon daemon minut plone backup minut hour plone backup path weekday plone backup path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,4.0,6.0,0.0,0.0,0.0,6a81bb7dd306c399769d0743f2bf0f06f1e9b930,0.0,1418065199.0,0.0,no,handlers/main.yml,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,plone/ansible.plone_server,3.17,name supervisor task list updat shell supervisorctl updat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,2.0,3.0,0.0,0.0,0.0,08d51c9eb88d43ca7c61dba9a289ab113005aec9,0.0,1418859947.0,0.0,no,meta/main.yml,0.0,1.0,21.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2.0,0.0,0.0,plone/ansible.plone_server,4.86,galaxi info author steve mahon descript provis plone server compani plone instal team licens gplv min ansibl version platform name ubuntu version precis quantal rare sauci trusti name debian version squeez wheezi categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,3.0,0.0,0.0,0.0,08d51c9eb88d43ca7c61dba9a289ab113005aec9,1.0,1418859947.0,1.0,no,tasks/main.yml,100.0,56.0,242.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,16.0,2.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,633.0,41.0,0.0,4.0,plone/ansible.plone_server,7.05,name fail plone initi password set fail msg must set plone initi password variabl plone initi password name ensur requir packag apt pkg item statepres item buildessenti pythondev pythonpip libzdev libssldev libjpegdev libxsltdev popplerutil lynxcur unzip supervisor git name ensur recent pythonvirtualenv pip namevirtualenv name superl instal plone client max memori pip namesuperl version name ensur plone group group nameplon group name ensur plone buildout user nameplon buildout groupplon group gener ssh keyy name ensur plone daemon user nameplon daemon groupplon group name ensur base directori file path plone target path statedirectori name instanc var base directori file path plone var path statedirectori mode name instanc backup base directori plone backup path file path plone backup path statedirectori mode name python virtualenv command usrlocalbinvirtualenv pythonpython plone python version plone target path python plone python version creat plone target path python plone python version name check exist buildout cach stat path plone target path buildoutcach regist cach stat name load buildout cach host file plone buildout cach file cach path unarch creat plone target path buildoutcach src plone buildout cach file dest plone target path ownerplon buildout groupplon group name download buildout cach need plone buildout cach url plone buildout cach file cach path get url url plone buildout cach url dest plone target path path forc name unpack download buildout cach plone buildout cach url command tar path arg chdir plone target path creat plone target path buildoutcach name delet old buildout cach tarbal file path plone target path path stateabs name fix file ownership cach plone buildout cach file plone buildout cach url file path plone target path buildoutcach ownerplon buildout groupplon group recursey name buildout cach directori file path plone target path buildoutcach statedirectori ownerplon buildout groupplon group name buildout cach egg directori file path plone target path buildoutcacheegg statedirectori ownerplon buildout groupplon group name buildout cach download directori file path plone target path buildoutcachedownload statedirectori ownerplon buildout groupplon group name instanc directori file path plone target path plone instanc name statedirectori ownerplon buildout groupplon group name copi buildout skeleton plone buildout git repo copi srczeoclust dest plone target path plone instanc name ownerplon buildout groupplon group name instanc directori via git plone buildout git repo git repo plone buildout git repo forceno dest plone target path plone instanc name version plone buildout git version default head depth accept hostkeyy sudo user plone buildout name instanc var directori file path plone var path plone instanc name statedirectori ownerplon daemon groupplon group mode name instanc backup directori plone backup path file path plone backup path plone instanc name statedirectori ownerplon daemon groupplon group mode name python egg directori file path plone var path path statedirectori ownerplon daemon groupplon group name copi buildout templat plone buildout git repo templat path dest plone target path plone instanc name path ownerplon buildout groupplon group backupy regist instanc statu name bootstrap buildout command path plone python version binpython path setuptoolsvers creat plone target path plone instanc name binbuildout chdir plone target path plone instanc name sudo user plone buildout name run buildout plone autorun buildout instanc path command binbuildout chdir plone target path plone instanc name sudo user plone buildout name look exist databas plone creat site stat path plone var path plone instanc name path regist statu name supervisor process control setup plone use supervisor templat srcsupervisor path dest supervisor config dir path ownerroot grouproot mode regist supervisor task conf name supervisor task list updat plone use supervisor supervisor task confchang shell supervisorctl updat name supervisor zeoserv task present plone use supervisor supervisorctl namezeoserv statepres name supervisor zeoclient task present plone use supervisor supervisorctl namezeocli item statepres sequenc count plone client count name supervisor zeoclient task restart plone use supervisor plone autorun buildout instanc path supervisorctl namezeocli item staterestart sequenc count plone client count name ensur script directori file path plone target path plone instanc name script statedirectori name creat restart script templat srcrestart path dest plone target path plone instanc name scriptsrestart path ownerroot grouproot mode name instal site creation run script templat srcadd plone path dest plone target path plone instanc name binadd plone path mode name creat initi plone site plone use supervisor plone creat site path sudo user plone daemon command binclient reserv run binadd plone path arg chdir plone target path plone instanc name name pack cron job plone pack cron name plone pack job plone target path plone instanc name binzeopack userplon daemon minut plone pack minut hour plone pack path weekday plone pack path name backup cron job plone backup cron name plone backup job plone target path plone instanc name binbackup userplon daemon minut plone backup minut hour plone backup path weekday plone backup path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01
0.0,2.0,2.0,3.0,0.0,0.0,0.0,08d51c9eb88d43ca7c61dba9a289ab113005aec9,0.0,1418859947.0,0.0,no,handlers/main.yml,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,plone/ansible.plone_server,3.17,name supervisor task list updat shell supervisorctl updat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,2.0,3.0,0.0,0.0,0.0,1b1f16b3f105854c79dd2b61f6c948196b0bdf3e,0.0,1422376460.0,0.0,no,meta/main.yml,0.0,1.0,21.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2.0,0.0,0.0,plone/ansible.plone_server,4.86,galaxi info author steve mahon descript provis plone server compani plone instal team licens gplv min ansibl version platform name ubuntu version precis quantal rare sauci trusti name debian version squeez wheezi categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,3.0,8.0,4.0,6.0,1b1f16b3f105854c79dd2b61f6c948196b0bdf3e,2.0,1422376460.0,1.0,no,tasks/main.yml,100.0,58.0,248.0,16.0,20.0,10.0,11.0,12.0,6.0,9.0,4.0,0.0,0.0,0.0,6.0,8.0,18.0,2.0,0.0,43.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,671.0,41.0,0.0,5.0,plone/ansible.plone_server,7.11,name fail plone initi password set fail msg must set plone initi password variabl plone initi password name ensur requir packag apt pkg item statepres item buildessenti pythondev pythonpip libzdev libssldev libjpegdev libxsltdev popplerutil lynxcur unzip supervisor git name ensur recent pythonvirtualenv pip namevirtualenv name superl instal plone client max memori pip namesuperl version name ensur plone group group nameplon group name ensur plone buildout user nameplon buildout groupplon group gener ssh keyy name ensur plone daemon user nameplon daemon groupplon group name ensur base directori file path plone target path statedirectori name instanc var base directori file path plone var path statedirectori mode name instanc backup base directori plone backup path file path plone backup path statedirectori mode name python virtualenv command usrlocalbinvirtualenv pythonpython plone python version plone target path python plone python version creat plone target path python plone python version name check exist buildout cach stat path plone target path buildoutcach regist cach stat name load buildout cach host file plone buildout cach file cach path unarch creat plone target path buildoutcach src plone buildout cach file dest plone target path ownerplon buildout groupplon group name download buildout cach need plone buildout cach url plone buildout cach file cach path get url url plone buildout cach url dest plone target path path forc ignor error ye name check exist buildout cach stat path plone target path buildoutcach regist tarbal stat name unpack download buildout cach tarbal path cach path command tar path arg chdir plone target path creat plone target path buildoutcach name delet old buildout cach tarbal file path plone target path path stateabs name buildout cach directori exist own plone buildout file path plone target path buildoutcach statedirectori ownerplon buildout groupplon group name buildout cach egg directori file path plone target path buildoutcacheegg statedirectori ownerplon buildout groupplon group name fix file ownership cach plone buildout cach file plone buildout cach url file path plone target path buildoutcach ownerplon buildout groupplon group recursey name buildout cach download directori file path plone target path buildoutcachedownload statedirectori ownerplon buildout groupplon group name instanc directori file path plone target path plone instanc name statedirectori ownerplon buildout groupplon group name copi buildout skeleton plone buildout git repo copi srczeoclust dest plone target path plone instanc name ownerplon buildout groupplon group name instanc directori via git plone buildout git repo git repo plone buildout git repo forceno dest plone target path plone instanc name version plone buildout git version default head depth accept hostkeyy sudo user plone buildout name instanc var directori file path plone var path plone instanc name statedirectori ownerplon daemon groupplon group mode name instanc backup directori plone backup path file path plone backup path plone instanc name statedirectori ownerplon daemon groupplon group mode name python egg directori file path plone var path path statedirectori ownerplon daemon groupplon group name copi buildout templat plone buildout git repo templat path dest plone target path plone instanc name path ownerplon buildout groupplon group backupy regist instanc statu name bootstrap buildout command path plone python version binpython path setuptoolsvers creat plone target path plone instanc name binbuildout chdir plone target path plone instanc name sudo user plone buildout name run buildout plone autorun buildout instanc path command binbuildout chdir plone target path plone instanc name sudo user plone buildout name everyth buildout cach groupread command chmod plone target path buildoutcach name look exist databas plone creat site stat path plone var path plone instanc name path regist statu name supervisor process control setup plone use supervisor templat srcsupervisor path dest supervisor config dir path ownerroot grouproot mode regist supervisor task conf name supervisor task list updat plone use supervisor supervisor task confchang shell supervisorctl updat name supervisor zeoserv task present plone use supervisor supervisorctl namezeoserv statepres name supervisor zeoclient task present plone use supervisor supervisorctl namezeocli item statepres sequenc count plone client count name supervisor zeoclient task restart plone use supervisor plone autorun buildout instanc path supervisorctl namezeocli item staterestart sequenc count plone client count name ensur script directori file path plone target path plone instanc name script statedirectori name creat restart script templat srcrestart path dest plone target path plone instanc name scriptsrestart path ownerroot grouproot mode name instal site creation run script templat srcadd plone path dest plone target path plone instanc name binadd plone path mode name creat initi plone site plone use supervisor plone creat site path sudo user plone daemon command binclient reserv run binadd plone path arg chdir plone target path plone instanc name name pack cron job plone pack cron name plone pack job plone target path plone instanc name binzeopack userplon daemon minut plone pack minut hour plone pack path weekday plone pack path name backup cron job plone backup cron name plone backup job plone target path plone instanc name binbackup userplon daemon minut plone backup minut hour plone backup path weekday plone backup path,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,1.0,0.06
0.0,2.0,2.0,3.0,0.0,0.0,0.0,1b1f16b3f105854c79dd2b61f6c948196b0bdf3e,0.0,1422376460.0,0.0,no,handlers/main.yml,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,plone/ansible.plone_server,3.17,name supervisor task list updat shell supervisorctl updat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,1.0,5.0,0.0,0.0,0.0,10c9b97c719f9a14d0d01ed0e7837c0238dfdc93,0.0,1433548531.0,0.0,no,meta/main.yml,0.0,1.0,21.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2.0,0.0,0.0,plone/ansible.plone_server,4.86,galaxi info author steve mahon descript provis plone server compani plone instal team licens gplv min ansibl version platform name ubuntu version precis quantal rare sauci trusti name debian version squeez wheezi categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,5.0,8.0,1.0,4.0,10c9b97c719f9a14d0d01ed0e7837c0238dfdc93,13.0,1433548531.0,4.0,no,tasks/main.yml,78.85,59.0,249.0,16.0,56.0,4.0,17.0,48.0,4.0,17.0,1.0,1.0,0.0,0.0,7.0,9.0,19.0,2.0,0.0,44.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,656.0,44.0,0.0,6.0,plone/ansible.plone_server,7.22,name fail plone initi password set fail msg must set plone initi password variabl plone initi password name ensur requir packag apt pkg item statepres item buildessenti cron curl pythondev pythonpip libzdev libssldev libjpegdev libxsltdev popplerutil lynxcur unzip supervisor git name ensur recent pythonvirtualenv pip namevirtualenv name superl instal plone client max memori pip namesuperl version name ensur plone group group nameplon group name ensur plone buildout user nameplon buildout groupplon group gener ssh keyy name ensur plone daemon user nameplon daemon groupplon group name ensur base directori file path plone target path statedirectori name instanc var base directori file path plone var path statedirectori mode name instanc backup base directori plone backup path file path plone backup path statedirectori mode name python virtualenv command usrlocalbinvirtualenv pythonpython plone python version plone target path python plone python version creat plone target path python plone python version name check exist buildout cach stat path plone target path buildoutcach regist cach stat name load buildout cach host file plone buildout cach file cach path unarch creat plone target path buildoutcach src plone buildout cach file dest plone target path ownerplon buildout groupplon group name download buildout cach need plone buildout cach url plone buildout cach file cach path get url url plone buildout cach url dest plone target path path forc ignor error ye name check exist buildout cach tarbal stat path plone target path path regist tarbal stat name unpack download buildout cach tarbal path cach path command tar path arg chdir plone target path creat plone target path buildoutcach name delet old buildout cach tarbal file path plone target path path stateabs name buildout cach directori exist own plone buildout file path plone target path buildoutcach statedirectori ownerplon buildout groupplon group name buildout cach egg directori file path plone target path buildoutcacheegg statedirectori ownerplon buildout groupplon group name fix file ownership cach plone buildout cach file plone buildout cach url file path plone target path buildoutcach ownerplon buildout groupplon group recursey name buildout cach download directori file path plone target path buildoutcachedownload statedirectori ownerplon buildout groupplon group name instanc directori file path plone instanc home statedirectori ownerplon buildout groupplon group name copi buildout skeleton plone buildout git repo copi srczeoclust dest plone instanc home ownerplon buildout groupplon group name instanc directori via git plone buildout git repo git repo plone buildout git repo forceno dest plone instanc home version plone buildout git version default head depth accept hostkeyy sudo user plone buildout name instanc var directori file path plone instanc var path statedirectori ownerplon daemon groupplon group mode name instanc backup directori plone backup path file path plone instanc backup path statedirectori ownerplon daemon groupplon group mode name python egg directori file path plone var path path statedirectori ownerplon daemon groupplon group name copi buildout templat plone buildout git repo templat path dest plone instanc home path ownerplon buildout groupplon group backupy regist instanc statu name check buildout ran success stat path plone instanc home binclient reserv regist buildout statu name bootstrap buildout command path plone python version binpython path setuptoolsvers creat plone instanc home binbuildout chdir plone instanc home sudo user plone buildout name run buildout plone autorun buildout instanc path buildout path command binbuildout chdir plone instanc home sudo user plone buildout name everyth buildout cach groupread command chmod plone target path buildoutcach name look exist databas plone creat site stat path plone instanc var path path regist statu name supervisor process control setup plone use supervisor templat srcsupervisor path dest supervisor config dir path ownerroot grouproot mode regist supervisor task conf name ensur supervisord run plone use supervisor servic namesupervisor staterun name supervisor task list updat plone use supervisor supervisor task confchang command supervisorctl updat name supervisor zeoserv task present plone use supervisor supervisorctl namezeoserv statepres name supervisor zeoclient task present plone use supervisor supervisorctl namezeocli item statepres sequenc count plone client count name supervisor zeoclient task restart plone use supervisor plone autorun buildout instanc path supervisorctl namezeocli item staterestart sequenc count plone client count name ensur script directori file path plone instanc home script statedirectori name instal site creation run script templat srcadd plone path dest plone instanc home binadd plone path mode name creat initi plone site plone use supervisor plone creat site path sudo user plone daemon command binclient reserv run binadd plone path arg chdir plone instanc home name pack cron job plone pack cron name plone pack job plone instanc home binzeopack userplon daemon minut plone pack minut hour plone pack path weekday plone pack path name backup cron job plone backup cron name plone backup job plone instanc home binbackup userplon daemon minut plone backup minut hour plone backup path weekday plone backup path,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-15.0,3.0,0.0,1.0,0.11
