avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,3.0,2.0,15.0,3.0,3.0,3.0,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,1.0,1438627363.0,1.0,0.0,tasks/update-code/s3.yml,100.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,tasks/update-code/s3.yml,ansistrano/deploy,4.0,name ansistrano get object bucket ansistrano bucket object ansistrano object dest ansistrano releas path modeget region ansistrano region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,2.0,15.0,34.0,4.0,12.0,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,9.0,1438627363.0,2.0,0.0,tasks/main.yml,74.58,15.0,18.0,0.0,76.0,8.0,18.0,42.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,94.0,1.0,0.0,0.0,0.0,tasks/main.yml,ansistrano/deploy,4.44,name ansistrano check earli adopt fail msg ansistrano custom task path use anymor pleas check document http path ansistrano custom task path defin includ ansistrano setup task file default path includ path includ ansistrano setup task file default path includ ansistrano updat code task file default path includ path includ ansistrano updat code task file default path includ ansistrano symlink share task file default path includ path includ ansistrano symlink share task file default path includ ansistrano symlink task file default path includ path includ ansistrano symlink task file default path includ ansistrano cleanup task file default path includ path includ ansistrano cleanup task file default path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,1.0,3.0,7.0,2.0,3.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,3.0,1445959851.0,1.0,0.0,tasks/update-code/s3_unarchive.yml,100.0,2.0,4.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,tasks/update-code/s3_unarchive.yml,ansistrano/deploy,3.97,includ path name ansistrano unarch set archiv file set fact ansistrano archiv file ansistrano releas path ansistrano object includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,0.0,tasks/update-code/copy.yml,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,vars/main.yml,ansistrano/deploy,3.95,name ansistrano scp deploy exist code remot server copi src ansistrano deploy dest ansistrano releas path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,0.0,tasks/cleanup.yml,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,1.0,0.0,0.0,0.0,tasks/cleanup.yml,ansistrano/deploy,4.57,name ansistrano clean releas shell ansistrano releas path tail ansistrano keep releas xarg ansistrano keep releas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,0.0,tasks/symlink-shared.yml,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,0.0,0.0,0.0,tasks/symlink-shared.yml,ansistrano/deploy,4.53,name ansistrano ensur share path target absent file stateabs path ansistrano releas path item item ansistrano share path name ansistrano creat softlink share path file statelink path ansistrano releas path item src ansistrano deploy share item item ansistrano share path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,2.0,1445959851.0,2.0,0.0,tasks/update-code/rsync.yml,50.0,2.0,7.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,3.0,0.0,0.0,1.0,tasks/update-code/rsync.yml,ansistrano/deploy,5.27,name ansistrano rsync get share path rsync case command echo ansistrano share path path regist ansistrano share rsync copi path name ansistrano rsync rsync applic file remot share copi synchron src ansistrano deploy dest ansistrano share rsync copi path set remot user ansistrano rsync set remot user recursivey deletey archivey compressy rsync opt ansistrano rsync extra param name ansistrano rsync deploy exist code server command ansistrano share rsync copi path ansistrano releas path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.11
0.0,45.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,1.0,1445959851.0,1.0,0.0,meta/main.yml,100.0,0.0,44.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,0.0,meta/main.yml,ansistrano/deploy,4.67,galaxi info author ansistrano descript ansibl role deploy script applic like php python rubi etc capistrano style compani ansistrano licens mit min ansibl version platform name version name gener unix version name fedora version name opensus version name amazon version name gener bsd version name free bsd version name ubuntu version name sle version name gener linux version name debian version categori cloud web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,0.0,tasks/symlink.yml,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,tasks/symlink.yml,ansistrano/deploy,4.06,name ansistrano chang softlink new releas file statelink path ansistrano deploy ansistrano current dir src ansistrano releas path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,0.0,tasks/setup.yml,0.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,66.0,5.0,0.0,0.0,2.0,tasks/setup.yml,ansistrano/deploy,4.7,name ansistrano ensur deploy base path exist file statedirectori path ansistrano deploy name ansistrano set releas path command echo ansistrano deploy ansistrano version dir regist ansistrano releas path name ansistrano ensur releas folder exist file statedirectori path ansistrano releas path name ansistrano set share path command echo ansistrano deploy share regist ansistrano share path name ansistrano ensur share element folder exist file statedirectori path ansistrano share path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,3.0,0.0,0.0,0.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,0.0,1445959851.0,0.0,1.0,tasks/update-code.yml,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,54.0,2.0,0.0,0.0,1.0,tasks/update-code.yml,ansistrano/deploy,5.36,local action set fact ansistrano releas version lookup pipe date run ansistrano releas version defin name ansistrano get releas path command echo ansistrano releas path ansistrano releas version regist ansistrano releas path includ updatecod ansistrano deploy via default rsync path name ansistrano copi releas version revis file shell echo ansistrano releas version ansistrano releas path revis,0.0,0.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-18.0,-2.0,0.0,0.0,-1.0,-0.03
0.0,2.0,1.0,3.0,6.0,3.0,9.0,2b6aa5dd2c9648ef362a2e432510f04fd1e6aa81,2.0,1445959851.0,1.0,0.0,tasks/update-code/unarchive.yml,100.0,1.0,4.0,0.0,11.0,6.0,9.0,5.0,2.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,2.0,0.0,0.0,0.0,tasks/update-code/unarchive.yml,ansistrano/deploy,3.9,name ansistrano unarch unarch sourc unarch copyno src ansistrano archiv file dest ansistrano releas path name ansistrano unarch delet archiv file file path ansistrano archiv file stateabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
