avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,3.0,1.0,1.0,0.0,0.0,0.0,eb9acd4666302081b2411b5926bc6f92d5c2c58e,1.0,1461573952.0,1.0,yes,tasks/redhat.yml,100.0,12.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,163.0,12.0,0.0,2.0,tasks/redhat.yml,CSCfi/ansible-role-collectd,6.0,name instal epel yum nameepelreleas statepres name instal collectd yum namecollectd statepres name instal collectd plugin packag yum name item statepres item collectd plugin packag name templat path templat path dest collectd conf dir path ownerroot mode backupno regist collectd config name instal path non guest host get url ownernobodi groupnobodi mode backupy urlhttp path path ansibl virtual role guest collectd ipmitool name set permiss path file path ownernobodi groupnobodi mode ansibl virtual role guest collectd ipmitool name add sudoer rule ipmitool templat srcsudo collectd ipmitool path collectd ipmitool ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal ipmitool virtual role guest yum nameipmitool statepres ansibl virtual role guest collectd ipmitool name drop collectd excess messag rsyslog templat srccollectd rsyslog path path collectd path ownerroot mode backupno regist collectd rsyslog drop ansibl virtual role guest collectd ipmitool name enabl start collectd servic namecollectd statestart enabledy name restart rsyslog collectd rsyslog drop chang servic namersyslog staterestart collectd rsyslog path name restart collectd configchang servic namecollectd staterestart collectd path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.02
0.0,2.0,1.0,1.0,0.0,0.0,0.0,eb9acd4666302081b2411b5926bc6f92d5c2c58e,0.0,1461573952.0,0.0,no,tasks/main.yml,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-collectd,3.12,includ path ansibl famili red hat ansibl distribut major version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1.0,3.0,0.0,0.0,0.0,dea23f3848015e662db9030d6ebebee47af188ab,0.0,1461838774.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-collectd,4.7,galaxi info author johan guldmyr descript configur collectd compani csc center scienc licens mit min ansibl version platform name version categori monitor depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,3.0,12.0,12.0,12.0,dea23f3848015e662db9030d6ebebee47af188ab,1.0,1461838774.0,1.0,yes,tasks/redhat.yml,100.0,15.0,43.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,219.0,15.0,0.0,2.0,tasks/redhat.yml,CSCfi/ansible-role-collectd,6.02,name instal epel yum nameepelreleas statepres name instal collectd yum namecollectd statepres name instal collectd plugin packag yum name item statepres item collectd plugin packag name templat path templat path dest collectd conf dir path ownerroot mode backupno regist collectd config name instal path non guest host get url ownernobodi groupnobodi mode backupy urlhttp path path ansibl virtual role guest collectd ipmitool name set permiss path file path ownernobodi groupnobodi mode ansibl virtual role guest collectd ipmitool name add sudoer rule ipmitool templat srcsudo collectd ipmitool path collectd ipmitool ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal ipmitool virtual role guest yum nameipmitool statepres ansibl virtual role guest collectd ipmitool name instal path non guest host get url ownernobodi groupnobodi mode backupno urlhttp path path ansibl virtual role guest collectd ipmitool name add sudoer rule freeipmi templat srcsudo collectd freeipmi path collectd freeipmi ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal freeipmi virtual role guest yum namefreeipmi statepres ansibl virtual role guest collectd ipmitool name drop collectd excess messag rsyslog templat srccollectd rsyslog path path collectd path ownerroot mode backupno regist collectd rsyslog drop ansibl virtual role guest collectd ipmitool name enabl start collectd servic namecollectd statestart enabledy name restart rsyslog collectd rsyslog drop chang servic namersyslog staterestart collectd rsyslog path name restart collectd configchang servic namecollectd staterestart collectd path,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.0,3.0,0.0,0.0,0.02
0.0,2.0,1.0,3.0,0.0,0.0,0.0,dea23f3848015e662db9030d6ebebee47af188ab,0.0,1461838774.0,0.0,no,tasks/main.yml,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-collectd,3.12,includ path ansibl famili red hat ansibl distribut major version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1.0,1.0,0.0,0.0,0.0,490cacb724952ce5b895fcaad19fe86c2dd345e6,0.0,1461839155.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-collectd,4.7,galaxi info author johan guldmyr descript configur collectd compani csc center scienc licens mit min ansibl version platform name version categori monitor depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,1.0,0.0,0.0,0.0,490cacb724952ce5b895fcaad19fe86c2dd345e6,1.0,1461839155.0,1.0,yes,tasks/redhat.yml,100.0,15.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,219.0,15.0,0.0,2.0,tasks/redhat.yml,CSCfi/ansible-role-collectd,6.02,name instal epel yum nameepelreleas statepres name instal collectd yum namecollectd statepres name instal collectd plugin packag yum name item statepres item collectd plugin packag name templat path templat path dest collectd conf dir path ownerroot mode backupno regist collectd config name instal path non guest host get url ownernobodi groupnobodi mode backupy urlhttp path path ansibl virtual role guest collectd ipmitool name set permiss path file path ownernobodi groupnobodi mode ansibl virtual role guest collectd ipmitool name add sudoer rule ipmitool templat srcsudo collectd ipmitool path collectd ipmitool ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal ipmitool virtual role guest yum nameipmitool statepres ansibl virtual role guest collectd ipmitool name instal path non guest host get url ownernobodi groupnobodi mode backupno urlhttp path path ansibl virtual role guest collectd ipmitool name add sudoer rule freeipmi templat srcsudo collectd freeipmi path collectd freeipmi ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal freeipmi virtual role guest yum namefreeipmi statepres ansibl virtual role guest collectd ipmitool name drop collectd excess messag rsyslog templat srccollectd rsyslog path path collectd path ownerroot mode backupno regist collectd rsyslog drop ansibl virtual role guest collectd ipmitool name enabl start collectd servic namecollectd statestart enabledy name restart rsyslog collectd rsyslog drop chang servic namersyslog staterestart collectd rsyslog path name restart collectd configchang servic namecollectd staterestart collectd path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,1.0,0.0,0.0,0.0,490cacb724952ce5b895fcaad19fe86c2dd345e6,0.0,1461839155.0,0.0,no,tasks/main.yml,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-collectd,3.12,includ path ansibl famili red hat ansibl distribut major version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,1.0,0.0,0.0,0.0,111254c4a315658aadd8bc213db5d727d57ad913,0.0,1461911471.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-collectd,4.7,galaxi info author johan guldmyr descript configur collectd compani csc center scienc licens mit min ansibl version platform name version categori monitor depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,1.0,0.0,0.0,0.0,111254c4a315658aadd8bc213db5d727d57ad913,1.0,1461911471.0,1.0,yes,tasks/redhat.yml,100.0,15.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,219.0,15.0,0.0,2.0,tasks/redhat.yml,CSCfi/ansible-role-collectd,6.02,name instal epel yum nameepelreleas statepres name instal collectd yum namecollectd statepres name instal collectd plugin packag yum name item statepres item collectd plugin packag name templat path templat path dest collectd conf dir path ownerroot mode backupno regist collectd config name instal path non guest host get url ownernobodi groupnobodi mode backupy urlhttp path path ansibl virtual role guest collectd ipmitool name set permiss path file path ownernobodi groupnobodi mode ansibl virtual role guest collectd ipmitool name add sudoer rule ipmitool templat srcsudo collectd ipmitool path collectd ipmitool ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal ipmitool virtual role guest yum nameipmitool statepres ansibl virtual role guest collectd ipmitool name instal path non guest host get url ownernobodi groupnobodi mode backupno urlhttp path path ansibl virtual role guest collectd ipmitool name add sudoer rule freeipmi templat srcsudo collectd freeipmi path collectd freeipmi ownerroot grouproot mode ansibl virtual role guest collectd ipmitool name instal freeipmi virtual role guest yum namefreeipmi statepres ansibl virtual role guest collectd ipmitool name drop collectd excess messag rsyslog templat srccollectd rsyslog path path collectd path ownerroot mode backupno regist collectd rsyslog drop ansibl virtual role guest collectd ipmitool name enabl start collectd servic namecollectd statestart enabledy name restart rsyslog collectd rsyslog drop chang servic namersyslog staterestart collectd rsyslog path name restart collectd configchang servic namecollectd staterestart collectd path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
