avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,11.0,5.0,39.0,0.0,0.0,0.0,4918ebfd81ab5a8530e75917c8009a43a5063d64,0.0,1549922093.0,0.0,1.0,tasks/win_agent.yml,0.0,2.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,128.0,4.0,0.0,0.0,1.0,tasks/win_agent.yml,cohesity/cohesity-ansible-role,5.8,name cohes agent set agent state cohes path default present cohes win agent cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert state cohes path servic user cohes path user default servic password cohes path password default preserveset cohes path default instal type cohes path type default volcbt tag alway regist instal name firewal rule allow cohes agent tcp port win firewal rule name cohes agent ansibl descript autom firewal rule creat cohes ansibl integr allow cohes agent commun firewal localport action allow direct protocol tcp state cohes path enabl ye tag alway name reboot host agent modif win reboot reboot timeout path cohes path tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,5.0,39.0,20.0,10.0,21.0,4918ebfd81ab5a8530e75917c8009a43a5063d64,2.0,1549922093.0,2.0,0.0,tasks/restore_file.yml,95.45,0.0,19.0,0.0,21.0,10.0,21.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,0.0,0.0,0.0,tasks/restore_file.yml,cohesity/cohesity-ansible-role,4.71,name cohes recoveri job restor set file cohes restor file cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert state cohes restor path default present name cohes restor path default environ cohes restor path default physic job name cohes restor path name default endpoint cohes restor path default backup cohes restor path default file name cohes restor path default wait job cohes restor path job default ye wait minut cohes restor path minut default overwrit cohes restor path default ye preserv attribut cohes restor path attribut default ye restor locat cohes restor path locat default tag alway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,17.0,2.0,8.0,-1.0,0.0,0.0,f28a9401c748919c7fc637214702c0f4fdd3700f,2.0,1555637927.0,1.0,0.0,tasks/job.yml,100.0,0.0,15.0,0.0,5.0,2.0,3.0,6.0,3.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,2.0,0.0,0.0,0.0,tasks/job.yml,cohesity/cohesity-ansible-role,4.59,name cohes protect job set cohes path name default job name state cohes path default present cohes job cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path default present name cohes path name default environ cohes path default physic file protect sourc cohes path default protect polici cohes path default bronz storag domain cohes path domain default default storag domain delet backup cohes path backup default cancel activ cohes path activ default tag alway,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.01
0.0,18.0,2.0,8.0,0.0,0.0,0.0,f28a9401c748919c7fc637214702c0f4fdd3700f,2.0,1555637927.0,1.0,0.0,tasks/source.yml,100.0,0.0,17.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,1.0,0.0,0.0,0.0,tasks/source.yml,cohesity/cohesity-ansible-role,4.65,name cohes protect sourc set cohes path default endpoint state cohes path default present cohes sourc cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path default present endpoint cohes path default environ cohes path default physic host type cohes path type default linux vmware type cohes path type default vcenter sourc usernam cohes path usernam default sourc password cohes path password default na protocol cohes path protocol default nf na usernam cohes path usernam default na password cohes path password default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.02
0.0,27.0,2.0,8.0,0.0,0.0,0.0,f28a9401c748919c7fc637214702c0f4fdd3700f,0.0,1555637927.0,0.0,0.0,meta/main.yml,0.0,5.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,3.0,0.0,0.0,0.0,meta/main.yml,cohesity/cohesity-ansible-role,5.05,galaxi info role name cohes ansibl role author cohes descript ansibl role manag cohes data platform compani cohes licens apach min ansibl version platform name version name ubuntu version name window version galaxi tag cohes backup restor protect platform depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,2.0,8.0,0.0,0.0,0.0,f28a9401c748919c7fc637214702c0f4fdd3700f,2.0,1555637927.0,1.0,0.0,tasks/restore_vm.yml,100.0,0.0,25.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,2.0,0.0,0.0,0.0,tasks/restore_vm.yml,cohesity/cohesity-ansible-role,4.77,name cohes recoveri job restor set virtual machin cohes restor cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes restor path default present name cohes restor path default environ cohes restor path default physic job name cohes restor path name default endpoint cohes restor path default backup cohes restor path default name cohes restor path default wait job cohes restor path job default ye wait minut cohes restor path minut default datastor cohes restor path default datastor folder cohes restor path folder default network connect cohes restor path connect default ye network cohes restor path default power state cohes restor path state default ye resourc pool cohes restor path pool default prefix cohes restor path default suffix cohes restor path default folder cohes restor path folder default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.02
0.0,9.0,2.0,8.0,17.0,6.0,17.0,f28a9401c748919c7fc637214702c0f4fdd3700f,3.0,1555637927.0,1.0,1.0,tasks/agent.yml,100.0,4.0,43.0,0.0,21.0,7.0,17.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,149.0,7.0,0.0,0.0,0.0,tasks/agent.yml,cohesity/cohesity-ansible-role,5.57,name instal prerequisit packag cent yum name wget rsync lsof lvm nfsutil state present ansibl distribut cent cohes path present tag alway name instal prerequisit packag ubuntu yum name wget rsync lsof lvm nfscommon state present ansibl distribut ubuntu cohes path present tag alway name enabl tcp port cent command firewallcmd item item zonepubl perman addport tcp reload ansibl distribut cent cohes path present tag alway name enabl tcp port ubuntu command ufw allow tcp ansibl distribut ubuntu cohes path present tag alway name cohes agent set agent state cohes path default present cohes agent cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path servic user cohes path user default cohesityag servic group cohes path group default cohesityag creat user cohes path user default download locat cohes path locat default tag alway,0.0,-1.0,2.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,0.0,0.0,0.0,0.34
0.0,36.0,2.0,8.0,2.0,1.0,1.0,f28a9401c748919c7fc637214702c0f4fdd3700f,3.0,1555637927.0,1.0,1.0,tasks/win_agent.yml,100.0,2.0,35.0,3.0,40.0,13.0,28.0,38.0,13.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,4.0,0.0,0.0,0.0,tasks/win_agent.yml,cohesity/cohesity-ansible-role,5.8,task name cohes agent set agent state cohes path default present cohes win agent cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path servic user cohes path user default servic password cohes path password default preserveset cohes path default instal type cohes path type default volcbt tag alway notifi reboot host agent modif name firewal rule allow cohes agent tcp port win firewal rule name cohes agent ansibl descript autom firewal rule creat cohes ansibl integr allow cohes agent commun firewal localport action allow direct protocol tcp state cohes path enabl ye tag alway handler name reboot host agent modif win reboot reboot timeout cohes path tag alway,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,9.0,0.0,0.0,0.0,-1.0,0.0
0.0,21.0,2.0,8.0,0.0,0.0,0.0,f28a9401c748919c7fc637214702c0f4fdd3700f,3.0,1555637927.0,1.0,0.0,tasks/restore_file.yml,100.0,0.0,19.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,2.0,0.0,0.0,0.0,tasks/restore_file.yml,cohesity/cohesity-ansible-role,4.73,name cohes recoveri job restor set file cohes restor file cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes restor path default present name cohes restor path default environ cohes restor path default physic file job name cohes restor path name default endpoint cohes restor path default backup cohes restor path default file name cohes restor path default wait job cohes restor path job default ye wait minut cohes restor path minut default overwrit cohes restor path default ye preserv attribut cohes restor path attribut default ye restor locat cohes restor path locat default tag alway,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.02
0.0,17.0,12.0,37.0,0.0,0.0,0.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,0.0,1556109251.0,0.0,0.0,tasks/job.yml,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,2.0,0.0,0.0,0.0,tasks/job.yml,cohesity/cohesity-ansible-role,4.59,name cohes protect job set cohes path name default job name state cohes path default present cohes job cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path default present name cohes path name default environ cohes path default physic file protect sourc cohes path default protect polici cohes path default bronz storag domain cohes path domain default default storag domain delet backup cohes path backup default cancel activ cohes path activ default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,12.0,37.0,0.0,0.0,0.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,0.0,1556109251.0,0.0,0.0,tasks/source.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,1.0,0.0,0.0,0.0,tasks/source.yml,cohesity/cohesity-ansible-role,4.65,name cohes protect sourc set cohes path default endpoint state cohes path default present cohes sourc cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path default present endpoint cohes path default environ cohes path default physic host type cohes path type default linux vmware type cohes path type default vcenter sourc usernam cohes path usernam default sourc password cohes path password default na protocol cohes path protocol default nf na usernam cohes path usernam default na password cohes path password default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,12.0,37.0,0.0,0.0,0.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,0.0,1556109251.0,0.0,0.0,meta/main.yml,0.0,5.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,3.0,0.0,0.0,0.0,meta/main.yml,cohesity/cohesity-ansible-role,5.05,galaxi info role name cohes ansibl role author cohes descript ansibl role manag cohes data platform compani cohes licens apach min ansibl version platform name version name ubuntu version name window version galaxi tag cohes backup restor protect platform depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,12.0,37.0,0.0,0.0,0.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,0.0,1556109251.0,0.0,0.0,tasks/restore_vm.yml,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,2.0,0.0,0.0,0.0,tasks/restore_vm.yml,cohesity/cohesity-ansible-role,4.77,name cohes recoveri job restor set virtual machin cohes restor cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes restor path default present name cohes restor path default environ cohes restor path default physic job name cohes restor path name default endpoint cohes restor path default backup cohes restor path default name cohes restor path default wait job cohes restor path job default ye wait minut cohes restor path minut default datastor cohes restor path default datastor folder cohes restor path folder default network connect cohes restor path connect default ye network cohes restor path default power state cohes restor path state default ye resourc pool cohes restor path pool default prefix cohes restor path default suffix cohes restor path default folder cohes restor path folder default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,12.0,37.0,0.0,0.0,0.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,0.0,1556109251.0,0.0,1.0,tasks/agent.yml,0.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,149.0,7.0,0.0,0.0,0.0,tasks/agent.yml,cohesity/cohesity-ansible-role,5.57,name instal prerequisit packag cent yum name wget rsync lsof lvm nfsutil state present ansibl distribut cent cohes path present tag alway name instal prerequisit packag ubuntu yum name wget rsync lsof lvm nfscommon state present ansibl distribut ubuntu cohes path present tag alway name enabl tcp port cent command firewallcmd item item zonepubl perman addport tcp reload ansibl distribut cent cohes path present tag alway name enabl tcp port ubuntu command ufw allow tcp ansibl distribut ubuntu cohes path present tag alway name cohes agent set agent state cohes path default present cohes agent cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path servic user cohes path user default cohesityag servic group cohes path group default cohesityag creat user cohes path user default download locat cohes path locat default tag alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,12.0,37.0,-2.0,-2.0,-2.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,1.0,1556109251.0,1.0,0.0,tasks/win_agent.yml,100.0,2.0,33.0,4.0,33.0,33.0,33.0,35.0,35.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,131.0,4.0,0.0,0.0,1.0,tasks/win_agent.yml,cohesity/cohesity-ansible-role,5.78,name cohes agent set agent state cohes path default present cohes win agent cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes path servic user cohes path user default servic password cohes path password default preserveset cohes path default instal type cohes path type default volcbt tag alway regist instal name firewal rule allow cohes agent tcp port win firewal rule name cohes agent ansibl descript autom firewal rule creat cohes ansibl integr allow cohes agent commun firewal localport action allow direct protocol tcp state cohes path enabl ye tag alway name reboot host agent modif win reboot reboot timeout path cohes path tag alway,0.0,-25.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,0.0,0.0,0.0,1.0,-0.02
0.0,22.0,12.0,37.0,1.0,1.0,1.0,a9a6537814e0607069f80d1d973e5cc8b7a089f2,1.0,1556109251.0,1.0,0.0,tasks/restore_file.yml,100.0,0.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,2.0,0.0,0.0,0.0,tasks/restore_file.yml,cohesity/cohesity-ansible-role,4.73,name cohes recoveri job restor set file cohes restor file cluster cohes server usernam cohes admin password cohes password valid cert cohes valid cert default state cohes restor path default present name cohes restor path default environ cohes restor path default physic file job name cohes restor path name default endpoint cohes restor path default backup cohes restor path default file name cohes restor path default wait job cohes restor path job default ye wait minut cohes restor path minut default overwrit cohes restor path default ye preserv attribut cohes restor path attribut default ye restor locat cohes restor path locat default backup timestamp cohes restor path timestamp default tag alway,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
